구분,기 종 별,대한항공,아시아나항공,제주항공,진에어,에어부산,이스타항공,티웨이항공,에어서울,에어인천
여객기,B737-700,,,,,,1,,,
여객기,"B737-800,B737-900,B737-900ER",32,,40,23,,19,24,,
여객기,B737-8(MAX),,,,,,2,,,
여객기,B747-400,3,2,,,,,,,
여객기,B767-300,,7,,,,,,,
여객기,"B777-200,B777-200ER,B777-300,B777-300ER",42,9,,4,,,,,
여객기,B787-9,9,,,,,,,,
여객기,B747-8I,10,,,,,,,,
여객기,A320-200,,7,,,8,,,,
여객기,A321-100,,2,,,,,,,
여객기,A321-200,,16,,,17,,,7,
여객기,A330-200,29,,,,,,,,
여객기,A330-300,,15,,,,,,,
여객기,A350-900,,6,,,,,,,
여객기,A380-800,10,6,,,,,,,
여객기,CS-300,9,,,,,,,,
화물기,B737-400F,,,,,,,,,2
화물기,B747-400F,4,5,,,,,,,
화물기,B747-400SF,,3,,,,,,,
화물기,B747-400ERF,,,,,,,,,
화물기,B747-400BDSF,,4,,,,,,,
화물기,B747-8F,7,,,,,,,,
화물기,B767-300F,,1,,,,,,,1
화물기,B777F,12,,,,,,,,
